 address,district_title,deputies
"вулиця Багратіона 1, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Бакинська 74, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Батумська 19, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Бахмутська 120, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Бахмутська 122, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Бахмутська 126 , Маріуполь",Дані відсутні,Дані відсутні
"вулиця Бахмутська 126, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Бахчиванджи 10, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Бахчиванджи 12, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Бахчиванджи 14, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Бахчиванджи 16, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Бахчиванджи 18, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Бахчиванджи 20, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Бахчиванджи 22, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Брюллова 25, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Брюллова 46, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Брюллова 47, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Брюллова 59а, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Брюллова 79, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Брянська 51, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Василя Яна  35, ",Дані відсутні,Дані відсутні
"вулиця Ватутіна 26, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Ватутіна 39А, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Верхні Аджахи 1, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Верхні Аджахи 110, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Верхні Аджахи 178 б, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Верхні Аджахи 258, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Верхні Аджахи 29, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Верхні Аджахи 37, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Верхні Аджахи 4, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Верхні Аджахи 57, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Верхні Аджахи 90, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Виноградна 97, с.Калинівка",Дані відсутні,Дані відсутні
"вулиця Відкрита 32, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Воїнів-визволителів 10, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Воїнів-визволителів 118, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Воїнів-визволителів 14, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Воїнів-визволителів 3, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Волгоградська 8, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Володимирська 5, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Володимирська 54, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Володимирська 7, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Гагаріна 1, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Гагаріна 122, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Гагаріна 130, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Гагаріна 150А, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Георгіївська  17, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Георгіївська  2, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Георгіївська  3, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Георгіївська  36, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Георгіївська  45, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Георгіївська  47, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Георгіївська  48, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Георгіївська  49, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Георгіївська  82, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Годовикова 28, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Годовикова 82, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Гонди 38, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Гонди 42, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Горлівська 2/13, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Горлівська 23, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Горлівська 4, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Горлівська 6, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Городня 104, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Городня 114, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Городня 126, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Городня 19, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Городня 28, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Городня 58, Маріуполь",Дані відсутні,Дані відсутні
"вулиця Городня 68, Маріуполь",Дані відсутні,Дані відсутні
